Program_ID,Year_ID,Category_ID,FMR_Code,Program_Name,Program_Name_HI,Program_Description,Nodal_Officer,Display_Order,Status
PRG0111,FY2425,CAT01,RCH.3,Child Health,बाल स्वास्थ्य,Child Health services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,3,Active
PRG0112,FY2425,CAT01,RCH.4,Immunization,टीकाकरण,Immunization services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,4,Active
PRG0113,FY2425,CAT01,RCH.5,Adolescent Health,किशोर स्वास्थ्य,Adolescent Health services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,5,Active
PRG0114,FY2425,CAT01,RCH.6,Family Planning,परिवार नियोजन,Family Planning services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,6,Active
PRG0115,FY2425,CAT01,RCH.7,Nutrition,पोषण,Nutrition services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,7,Active
PRG0116,FY2425,CAT01,RCH.8,National Iodine Deficiency Disorders Control Programme (NIDDCP),,National Iodine Deficiency Disorders Control Programme (NIDDCP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager / DCM,8,Active
PRG0117,FY2425,CAT02,NDCP.1,Integrated Disease Surveillance Programme (IDSP),,Integrated Disease Surveillance Programme (IDSP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,9,Active
PRG0118,FY2425,CAT02,NDCP.2,National Vector Borne Disease Control Programme (NVBDCP),,National Vector Borne Disease Control Programme (NVBDCP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,10,Active
PRG0119,FY2425,CAT02,NDCP.3,National Leprosy Eradication Programme (NLEP),,National Leprosy Eradication Programme (NLEP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,11,Active
PRG0120,FY2425,CAT02,NDCP.4,National Tuberculosis Elimination Programme (NTEP),,National Tuberculosis Elimination Programme (NTEP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,12,Active
PRG0121,FY2425,CAT02,NDCP.5,National Viral Hepatitis Control Programme (NVHCP),,National Viral Hepatitis Control Programme (NVHCP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,13,Active
PRG0122,FY2425,CAT02,NDCP.6,National Rabies Control Programme (NRCP),,National Rabies Control Programme (NRCP) services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,14,Active
PRG0123,FY2425,CAT02,NDCP.8,State specific Initiatives and Innovations,,State specific Initiatives and Innovations services provided across the six blocks of Sheikhpura district through government health facilities.,District Vector Borne Disease Control Officer,15,Active
PRG0124,FY2425,CAT03,NCD.1,National Program for Control of Blindness and Vision Impairment (NPCB+VI),,National Program for Control of Blindness and Vision Impairment (NPCB+VI) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,16,Active
PRG0125,FY2425,CAT03,NCD.2,National Mental Health Program (NMHP),,National Mental Health Program (NMHP) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,17,Active
PRG0126,FY2425,CAT03,NCD.3,National Programme for Health Care for the Elderly (NPHCE),,National Programme for Health Care for the Elderly (NPHCE) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,18,Active
PRG0127,FY2425,CAT03,NCD.4,National Tobacco Control Programme (NTCP),,National Tobacco Control Programme (NTCP) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,19,Active
PRG0128,FY2425,CAT03,NCD.5,"National Programme for Prevention and Control of Diabetes, Cardiovascular Disease and Stroke (NPCDCS)",,"National Programme for Prevention and Control of Diabetes, Cardiovascular Disease and Stroke (NPCDCS) services provided across the six blocks of Sheikhpura district through government health facilities.",District NCD Nodal Officer,20,Active
PRG0129,FY2425,CAT03,NCD.6,Pradhan Mantri National Dialysis Programme (PMNDP),,Pradhan Mantri National Dialysis Programme (PMNDP) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,21,Active
PRG0130,FY2425,CAT03,NCD.7,National Program for Climate Change and Human Health (NPCCHH),,National Program for Climate Change and Human Health (NPCCHH) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,22,Active
PRG0131,FY2425,CAT03,NCD.8,National Oral Health Programme (NOHP),,National Oral Health Programme (NOHP) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,23,Active
PRG0132,FY2425,CAT03,NCD.10,National Programme for Prevention and Control of Fluorosis (NPPCF),,National Programme for Prevention and Control of Fluorosis (NPPCF) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,24,Active
PRG0133,FY2425,CAT03,NCD.11,National Programme for Prevention and Control of Deafness (NPPCD),,National Programme for Prevention and Control of Deafness (NPPCD) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,25,Active
PRG0134,FY2425,CAT03,NCD.13,State specific Programme Interventions,,State specific Programme Interventions services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,26,Active
PRG0135,FY2425,CAT04,HSS(U).1,Comprehensive Primary Healthcare (CPHC),,Comprehensive Primary Healthcare (CPHC) services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,27,Active
PRG0136,FY2425,CAT04,HSS(U).2,Community Engagement,,Community Engagement services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,28,Active
PRG0137,FY2425,CAT04,HSS(U).3,Public Health Institutions as per IPHS norms,,Public Health Institutions as per IPHS norms services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,29,Active
PRG0138,FY2425,CAT04,HSS(U).4,Quality Assurance,,Quality Assurance services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,30,Active
PRG0139,FY2425,CAT04,HSS(U).5,HRH,,HRH services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,31,Active
PRG0140,FY2425,CAT04,HSS(U).6,Technical Assistance,,Technical Assistance services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,32,Active
PRG0141,FY2425,CAT04,HSS(U).7,Access,,Access services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,33,Active
PRG0142,FY2425,CAT04,HSS(U).8,Innovation,,Innovation services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,34,Active
PRG0143,FY2425,CAT04,HSS(U).9,Untied Grants,,Untied Grants services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,35,Active
